"","Duration (in seconds)","Finished","ResponseId","Q578","Q579","Q580","Q271_1","Q271_2","Q271_3","Q271_4","Q271_5","Q271_6","Q78","Q77","Q76","Q75","Q74","Q581","F-1-1","F-1-1-1","F-1-2","F-1-1-2","F-1-3","F-1-1-3","F-1-2-1","F-1-2-2","F-1-2-3","F-2-1","F-2-1-1","F-2-2","F-2-1-2","F-2-3","F-2-1-3","F-2-2-1","F-2-2-2","F-2-2-3","F-3-1","F-3-1-1","F-3-2","F-3-1-2","F-3-3","F-3-1-3","F-3-2-1","F-3-2-2","F-3-2-3","duration_mins","scaled_duration_mins"
"138",1039,TRUE,"R_3fdS6BjEA9hNORZ","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","2","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","6","Unemployed","Caucasian","Bachelor degree","Female",25,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Approximately 20 years",17.3166666666667,0.279687255425535
"139",689,TRUE,"R_1P8dqVpbgLGfwmQ","Candidate 2","Candidate 2","Candidate 1","6","3","7 - Strongly agree","1 - Strongly disagree","3","5","Self-employed","Caucasian","High school degree/ GED","Male",28,"Never","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption",11.4833333333333,-0.144165567208871
"140",474,TRUE,"R_2aDNjQM48kePEJD","Candidate 1","Candidate 2","Candidate 2","6","7 - Strongly agree","7 - Strongly agree","6","6","7 - Strongly agree","Employed, full-time","African American","Bachelor degree","Male",30,"Regularly","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","No proceedings","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years",7.9,-0.404532301112864
"141",1086,TRUE,"R_2uBumEUOjdN8xZ9","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","6","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","7 - Strongly agree","Unemployed","Hispanic","Some college","Male",43,"Regularly","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","None","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites",18.1,0.336604634465012
"142",920,TRUE,"R_2q9RExC3zP8CR6d","Candidate 2","Candidate 1","Candidate 1","6","1 - Strongly disagree","6","6","6","4 - Neither agree nor disagree","Employed, full-time","African American","Bachelor degree","Female",62,"Regularly","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 20 years",15.3333333333333,0.135577295729837
"143",1121,TRUE,"R_W3eiAD8vIHiBmRr","Candidate 2","Candidate 2","Candidate 1","6","1 - Strongly disagree","2","6","4 - Neither agree nor disagree","6","Employed, full-time","Asian","Master degree","Female",56,"Regularly","Past Political Experience","None","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor",18.6833333333333,0.378989916728453
"144",1590,TRUE,"R_3koFhVsiLZGn8x4","Candidate 1","Candidate 1","Candidate 1","6","4 - Neither agree nor disagree","5","5","1 - Strongly disagree","6","Employed, part time","Caucasian","Some college","Female",21,"Regularly","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","None","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","None",26.5,0.946952699058557
"145",1353,TRUE,"R_2c8HpOj2VCNTHWD","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","5","3","2","6","Self-employed","Other","Bachelor degree","Female",46,"Regularly","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years",22.55,0.65994378773183
"146",1006,TRUE,"R_1C1uUt2UdWcdWXA","Candidate 2","Candidate 1","Candidate 2","6","2","6","4 - Neither agree nor disagree","3","5","Retired","Asian","Some college","Male",68,"Never","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites",16.7666666666667,0.239723989291433
"147",1258,TRUE,"R_Z4P1GvNHCNnh2eJ","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","3","3","6","6","6","Employed, full-time","Caucasian","Some college","Female",39,"Never","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor",20.9666666666667,0.544898021588206
"148",1614,TRUE,"R_1rJPT2Jxfm26egL","Candidate 2","Candidate 1","Candidate 1","7 - Strongly agree","2","7 - Strongly agree","6","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","Some college","Female",55,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor",26.9,0.97601689261063
"149",1004,TRUE,"R_3gR8DgS8xnPppTo","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","2","6","5","3","6","Employed, full-time","African American","Bachelor degree","Male",25,"Regularly","Past Political Experience","Approximately 20 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","No proceedings",16.7333333333333,0.237301973162094
"150",1572,TRUE,"R_2b34BXDLXBdoeFP","Candidate 2","Candidate 2","Candidate 1","6","2","5","5","2","6","Unemployed","Asian","Some college","Female",53,"Never","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","None","Collective expulsion of immigrants and closure of the border",26.2,0.925154553894501
"151",1627,TRUE,"R_2absmoHgypzkb2L","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","4 - Neither agree nor disagree","5","Employed, full-time","African American","High school degree/ GED","Male",35,"Never","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","None","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption",27.1166666666667,0.991759997451337
"152",1315,TRUE,"R_pMISqWWMF4qCXGp","Candidate 2","Candidate 1","Candidate 2","2","1 - Strongly disagree","6","4 - Neither agree nor disagree","5","6","Employed, full-time","Caucasian","Some college","Male",38,"Never","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 20 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","None","No proceedings","Acceptance of immigrants conditional on certain requisites",21.9166666666667,0.613925481274381
"153",670,TRUE,"R_Y02T3LYPOTvxswF","Candidate 2","Candidate 1","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","3","4 - Neither agree nor disagree","Employed, full-time","Caucasian","Some college","Male",35,"Never","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","No proceedings","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","Approximately 20 years","Welcome immigrants and organise human corridor",11.1666666666667,-0.167174720437596
"154",1520,TRUE,"R_3KZJCIvw6fzqRJm","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","Caucasian","High school degree/ GED","Female",40,"Never","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","None","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites",25.3333333333333,0.862182134531675
"155",1558,TRUE,"R_r90zoMqURBBDTwd","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","5","7 - Strongly agree","6","3","6","Employed, full-time","Caucasian","Some college","Male",28,"Sometimes","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","None","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Welcome immigrants and organise human corridor","No proceedings",25.9666666666667,0.908200440989125
"156",749,TRUE,"R_1LCmCfzjoRp0tPd","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","5","Self-employed","Caucasian","Some college","Female",58,"Sometimes","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption",12.4833333333333,-0.0715050833286875
"157",578,TRUE,"R_1IjUHC6G9gfhJ8l","Candidate 2","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","6","3","3","5","Retired","Caucasian","Some college","Female",62,"Regularly","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","None","Welcome immigrants and organise human corridor","No proceedings","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years",9.63333333333333,-0.278587462387211
"158",576,TRUE,"R_3Hw6CQRjYLkqG7r","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","2","2","4 - Neither agree nor disagree","6","Employed, full-time","Caucasian","Bachelor degree","Male",44,"Sometimes","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","None","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Acceptance of immigrants conditional on certain requisites","None","No proceedings",9.6,-0.281009478516551
"159",546,TRUE,"R_2f2O4XAqkHHn6HN","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","2","2","5","7 - Strongly agree","5","Employed, full-time","Caucasian","Bachelor degree","Female",42,"Regularly","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","None","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption",9.1,-0.317339720456643
"160",1367,TRUE,"R_23V5cTwrMv4O1s6","Candidate 1","Candidate 1","Candidate 2","5","3","5","3","2","2","Employed, part time","Hispanic","Master degree","Male",31,"Never","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","None","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","No proceedings",22.7833333333333,0.676897900637207
"161",946,TRUE,"R_1C3KsVhPpUgJTLW","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","2","6","4 - Neither agree nor disagree","1 - Strongly disagree","6","Employed, full-time","Hispanic","High school degree/ GED","Male",33,"Never","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","No proceedings","Welcome immigrants and organise human corridor","None","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","None",15.7666666666667,0.16706350541125
"162",841,TRUE,"R_t07kWTHlH1ksqXL","Candidate 2","Candidate 1","Candidate 2","6","5","5","5","3","6","Employed, full-time","Caucasian","Some college","Male",42,"Never","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","Approximately 10 years",14.0166666666667,0.0399076586209279
"163",1908,TRUE,"R_1H74ikxIKdyGxxh","Candidate 2","Candidate 2","Candidate 2","7 - Strongly agree","3","7 - Strongly agree","5","6","3","Retired","Caucasian","Bachelor degree","Male",65,"Sometimes","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 20 years","No proceedings","Collective expulsion of immigrants and closure of the border",31.8,1.33205326362353
"164",747,TRUE,"R_1NeubflRJ1a5tEM","Candidate 1","Candidate 1","Candidate 2","4 - Neither agree nor disagree","6","7 - Strongly agree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","6","Employed, full-time","African American","Some college","Female",22,"Sometimes","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Welcome immigrants and organise human corridor","The candidate is under investigation for corruption","Approximately 10 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites",12.45,-0.0739270994580269
"165",1813,TRUE,"R_1mlXYXZVP04QuDL","Candidate 1","Candidate 1","Candidate 1","6","6","7 - Strongly agree","5","7 - Strongly agree","7 - Strongly agree","Self-employed","Caucasian","Master degree","Male",27,"Regularly","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","None","Acceptance of immigrants conditional on certain requisites","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","None","Acceptance of immigrants conditional on certain requisites","No proceedings",30.2166666666667,1.21700749747991
"166",1141,TRUE,"R_2yswmllEz1MhGQk","Candidate 2","Candidate 2","Candidate 2","6","1 - Strongly disagree","6","4 - Neither agree nor disagree","2","6","Employed, full-time","Asian","Bachelor degree","Male",30,"Regularly","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Approximately 10 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","None","No proceedings","Welcome immigrants and organise human corridor",19.0166666666667,0.403210078021847
"167",1641,TRUE,"R_To8y21SbDf7EmXL","Candidate 2","Candidate 1","Candidate 2","5","1 - Strongly disagree","5","3","2","5","Employed, full-time","Other","Some college","Female",30,"Regularly","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate has been convicted of corruption","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","Approximately 20 years","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","None","The candidate is under investigation for corruption",27.35,1.00871411035671
"168",334,TRUE,"R_3Rw82O3wWKu3mSC","Candidate 2","Candidate 1","Candidate 2","6","4 - Neither agree nor disagree","6","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","Employed, full-time","Caucasian","High school degree/ GED","Male",27,"Never","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","None","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","No proceedings","Collective expulsion of immigrants and closure of the border","None",5.56666666666667,-0.574073430166626
"169",824,TRUE,"R_2cC9lm4MNb60Z3r","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","1 - Strongly disagree","6","4 - Neither agree nor disagree","2","4 - Neither agree nor disagree","Employed, full-time","Hispanic","High school degree/ GED","Male",25,"Regularly","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","No proceedings","None","Collective expulsion of immigrants and closure of the border","The candidate is under investigation for corruption",13.7333333333333,0.0193205215215424
